,data,next_cursor,limit,count
35,"{'condition_id': '0x07d12a9048efaa37e41802960a3beae89344d666697c4d96bd83183d6ca98eae', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '62577363516805193119194888840720826506632929530060943950622802666644431782725', 'outcome': 'Yes', 'price': 1, 'winner': False}, {'token_id': '49549629182113672795361721168787502056002206540713855926600660750974666284083', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
36,"{'condition_id': '0xec8ac7ee6c07430720d094add42b65f9bb58eee4d50cf871eb283683266f0ce1', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '39289679472414837821583732143216494588121212380555769760833586790049952727976', 'outcome': 'Yes', 'price': 0.0012, 'winner': False}, {'token_id': '36387808287602434226612007330135789007725538245981525016309108634783203631228', 'outcome': 'No', 'price': 0.9988, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
37,"{'condition_id': '0xfe773f8e17ec4e757faf70567f2d85644e3611f2748392f46bb9329877db6025', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '14864690048411863509864136642933020552751693168334543712606679003596269883303', 'outcome': 'Yes', 'price': 0.001, 'winner': False}, {'token_id': '95019595154428293752475899296509768331943601973228932676304797915193188085688', 'outcome': 'No', 'price': 0.999, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
38,"{'condition_id': '0x4e594a100e668efef3859b366d1c83ba4cc1a45b6f0344db0e7778e86f794632', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '112995906020160761789947914683892160209338292390000258553437017517303243885881', 'outcome': 'Heat', 'price': 0, 'winner': False}, {'token_id': '20172784825378494351304889207899332749313304291145005355072154007261003944699', 'outcome': 'Nets', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
39,"{'condition_id': '0x774f5c5c25f80dc03ad5aada57dd679e79e99ddc27ca1e18440c19b0082da427', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '43158910816044834978559493505015343723013202703172364548378828046523764499263', 'outcome': 'Jazz', 'price': 0, 'winner': False}, {'token_id': '8980012174732927748522461611094437838101992076768855387074494996053317327238', 'outcome': 'Knicks', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
40,"{'condition_id': '0x7142a197a729ecdf239aebda93b0ad1002cc3379aa7638e535f4f52b0c49c0ac', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '79325337743161925757005263170268423430317894841280909418869516584840261903579', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '55620220837667851462644414082546386648702690880336676553839876210820924776209', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
41,"{'condition_id': '0xdd42e83a5365621cb1648d1d1d5f0b0b124dfa8def5dce21b6e1ae3ce0d6b81b', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '32047176487972589606935430145853663773018421907222986284805383820221449800098', 'outcome': 'Nuggets', 'price': 0.0739, 'winner': False}, {'token_id': '39494795397685102616403628518384653528298314055318067961827895767576247948470', 'outcome': 'Timberwolves', 'price': 0.9261, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
42,"{'condition_id': '0x8f6fa8af6176b37ebd99317b6a9caf28ee61f29a807dcbd56074a01eb4d975b8', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '106522989057330725781727137109968308404342521445681659314101363937153135946454', 'outcome': 'Yes', 'price': 1, 'winner': False}, {'token_id': '100559920485897751472833403699186882923985677818404795840542061766510590545185', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
43,"{'condition_id': '0xf8fa60fa33aaa7394ff92cf195fcc45b2d5de4bac43fcb537e0323c9b64b4d01', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '56854778582279152963301831119080686371971576741615690358980536418756036606518', 'outcome': 'Jazz', 'price': 0, 'winner': False}, {'token_id': '39819691616627042045010631890768228775204216752451226303365992283746601630955', 'outcome': 'Thunder', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
44,"{'condition_id': '0x8d4d93af5b60101fe62eed34c1bf224772c9eca08e6b20133464a63334d45385', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '50704207056736616228968863530974795238122824149643789058133772904215352005018', 'outcome': 'Seahawks', 'price': 0, 'winner': False}, {'token_id': '36874459293480338454188062869396010095398028828525149685467715440226955267', 'outcome': '49ers', 'price': 1, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
45,"{'condition_id': '0x1409177eae7f1b0406bc0eea9d2715c9f76d88ec7765aed03cf39d59f36008f7', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '93161692958130071140707303038219679429250610405728840035276830076675494144291', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '56419231299380534710656783098291368308638365867243518354348835265264811381897', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': False, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
46,"{'condition_id': '0x1e28e73363c1a45a7ea8f4fffeacb82f315afa1a401d344a1b87627296ce28ef', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '65802362820020567329932154906104722382903008851403603648660735230391455112176', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '98367414598724826729591562519283226336531934089688901170113968404509428380071', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
47,"{'condition_id': '0xf7c7f26b211e1674fd0bba3011c93bdc926fe2e0ca958783bc7eb24b2dd08d0f', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '100609607625182382624193104548921774973445408678431158778514964996831797085537', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '5950497898383374283070528183684144466469822405683850609823913419711221976131', 'outcome': 'No', 'price': 1, 'winner': True}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
48,"{'condition_id': '0x8d7660da3088d01897bf73df65e73c181d74e1bcdcbe621f99ecce51ff626515', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '36764825915347157594036157173801405569203332753041751426269506219355355541575', 'outcome': 'Mavericks', 'price': 0, 'winner': False}, {'token_id': '79385360221380058788186152978965873435377888034901773085843311358236492292558', 'outcome': 'Kings', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
49,"{'condition_id': '0x5ef7d98e2b55953be12acc6aa5c13129bfef55a0e48b14ac0f479e08981f9bd1', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '102122366921728883686007723122183182680201356871652918420191682492250640822215', 'outcome': 'Yes', 'price': 1, 'winner': False}, {'token_id': '1097955942803140332889254003124615337602080239229284846512443678670566232194', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
50,"{'condition_id': '0xb01a3f1db2b9150eaa813faee68602887a61efd781ac7fbda2868ab5b8cd9e6a', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '65832068603837896051404624033637065024292179881289060451809853775685847177746', 'outcome': 'Strickland', 'price': 1, 'winner': False}, {'token_id': '104644252217573449054288588500338677752828659947622759505641997528160168805711', 'outcome': 'Imavov', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
51,"{'condition_id': '0x09776586b8dc3f65cee05adb6e5c1f647dba76992c314a77d80a191cab6bb8c0', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '26430229334445961376968322516392779151001660223387778747930666455579577999631', 'outcome': 'Crystal Palace', 'price': 0, 'winner': False}, {'token_id': '78560150967493632575566770688124045340054094663229498669036428951932571624356', 'outcome': 'Liverpool', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
52,"{'condition_id': '0xc0f6fc1ef71052492781bf8f1614cb3e767fd4a71fc2f1dfd1899dbb195fefea', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '59807065909300685172612218308381429575745612931150980239075273322751866141474', 'outcome': 'Yes', 'price': 0.9999, 'winner': False}, {'token_id': '22043269032172386305278451412297528721845400932396410358944191793979985652558', 'outcome': 'No', 'price': 0.0001, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
53,"{'condition_id': '0x7b76dda87a490fe7fb793ba900c02685aaa193c75277c39f396121f902f9786c', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '36430544462570115479940657234002209450370604907241767679295768862183843744752', 'outcome': 'Yes', 'price': 0.5, 'winner': False}, {'token_id': '56357009725687097216720222009731054615934909862114516653388699536347194425830', 'outcome': 'No', 'price': 0.5, 'winner': False}], 'active': False, 'closed': False, 'archived': True, 'accepting_orders': False}",NTAw,500,500
