,condition_id,token_id,outcome,price,winner,min_incentive_size,max_incentive_spread,active,closed
15,0xe3c42f6d6223c0355d7183ce2405e8b2e2456c536049ace975ec9f0622032a28,111217048893715148157293144589148822103495183890716026407706555406529831978704,Yes,0.0,False,0.0,0.0,True,True
16,0x562a1c278fd84b9cd2147253fc9497ca07a616a59f7bc0c99966f321fa4493f4,54640934133536830902397330678975503905046193373389601769070372963866091231957,Nuggets,0.0,False,0.0,0.0,True,True
17,0x0caf5c072f5abb4fe484b569949a9e414dc73d0d1af81be5effea1c2a48e4833,48479984676432677557122491017951160228301130784207804545419686276865000611799,Cowboys,0.0,False,0.0,0.0,True,True
18,0xb2835b87edf84f35410ea3f67ab405eb23cec6b28a1a3cbb74d2121b2683bddd,75388453175673390925887192961877051339942627464791920979479914258685676338113,Timberwolves,0.0,False,0.0,0.0,True,True
19,0x9dd2a37809c893a30f08ec6aeeb64e7cadcc57fbcb5daf9f0eb24533064c0bce,91646825519638652024924938233183993113817051408588594977041410882710500489699,Wizards,0.0,False,0.0,0.0,True,True
20,0x9c4d05a5b1cec55d56626ede111048cb6c43ec8e8c777f794b605d33be0c82ec,105045584662682185685970556727114212674702864314804848740433640162087194646657,Yes,0.0003,False,0.0,0.0,True,True
21,0x7c97080dfbbe71bfa52ba51c82cb0cdfe47cd7b87842047c58647c8ff1d1fef4,36161990524808999529099890841186860907449767867066339846328156147773282747583,Yes,0.5,False,0.0,0.0,True,True
22,0xcdb5f97de6c7fa67609e5fd0545849b7b4e793fb8e0201848055e067a266b40e,11576521136575099849385883235663155833368306550321607714359007906075648349803,Spurs,0.0,False,0.0,0.0,True,True
23,0x861b87321dbad58c882e759cfbfa342220c046f744d7e33fca88c76163a80b8a,58556933860919823136363034858350137516783358604730966165576766857388929443670,Cavaliers,0.0,False,0.0,0.0,True,True
24,0x7bdbb78a104e7301cc9c6e0fef64bb5733c8fbe69ab8082cf26e227f91908ffa,66840793208895902134770756801876217714621927881254495944557040037466903434752,Guardians,0.0,False,0.0,0.0,True,True
25,0x93745569f8eae315ab44bbbd18488fd2d27e4186f46d8eaed06d8274149d0075,91062083114111419090146042256013828236846209012589195527260997553275751363870,Heat,0.0,False,0.0,0.0,True,True
26,0xf570dd1484dad512183817748d6507b17e16736ef91df40d05345e8e726f4df9,13109914525314007783369415104821535023801033353474231036967098629785285692162,Heads,0.0009,False,0.0,0.0,True,True
27,0xacb2aabc6f3fead7c19d52a2b82dc4438ba9589e1ff941da4622e59a4819e0c1,57799010478442185186541101940219441451580652511487999095465280793256099865060,Yes,0.0,False,0.0,0.0,True,True
28,0x7bb90b216f9686eeec780ca9cc89757080e613c3973ecfb64c7b6348d258ee1d,83397941921678775177683698896713734782694378595265047324995459758729944336733,Yes,0.0,False,0.0,0.0,True,True
29,,,,0.0,False,0.0,0.0,False,False
